gender,index_type,age_months,sd_n3,sd_n2,sd_n1,median,sd_p1,sd_p2,sd_p3
P,BB_U,8,5.6,6.3,7.0,7.9,9.0,10.2,11.6 
P,BB_U,9,5.8,6.5,7.3,8.2,9.3,10.5,12.0 
P,BB_U,10,5.9,6.7,7.5,8.5,9.6,10.9,12.4 
P,BB_U,11,6.1,6.9,7.7,8.7,9.9,11.2,12.8 
P,BB_U,12,6.3,7.0,7.9,8.9,10.1,11.5,13.1 
P,BB_U,13,6.4,7.2,8.1,9.2,10.4,11.8,13.5 
P,BB_U,14,6.6,7.4,8.3,9.4,10.6,12.1,13.8 
P,BB_U,15,6.7,7.6,8.5,9.6,10.9,12.4,14.1 
P,BB_U,16,6.9,7.7,8.7,9.8,11.1,12.6,14.5 
P,BB_U,17,7.0,7.9,8.9,10.0,11.4,12.9,14.8 
P,BB_U,18,7.2,8.1,9.1,10.2,11.6,13.2,15.1 
P,BB_U,19,7.3,8.2,9.2,10.4,11.8,13.5,15.4 
P,BB_U,20,7.5,8.4,9.4,10.6,12.1,13.7,15.7 
P,BB_U,21,7.6,8.6,9.6,10.9,12.3,14.0,16.0 
P,BB_U,22,7.8,8.7,9.8,11.1,12.5,14.3,16.4 
P,BB_U,23,7.9,8.9,10.0,11.3,12.8,14.6,16.7 
P,BB_U,24,8.1,9.0,10.2,11.5,13.0,14.8,17.0 
P,BB_U,25,8.2,9.2,10.3,11.7,13.3,15.1,17.3 
P,BB_U,26,8.4,9.4,10.5,11.9,13.5,15.4,17.7 
P,BB_U,27,8.5,9.5,10.7,12.1,13.7,15.7,18.0 
P,BB_U,28,8.6,9.7,10.9,12.3,14.0,16.0,18.3 
P,BB_U,29,8.8,9.8,11.1,12.5,14.2,16.2,18.7 
P,BB_U,30,8.9,10.0,11.2,12.7,14.4,16.5,19.0 
P,BB_U,31,9.0,10.1,11.4,12.9,14.7,16.8,19.3 
P,BB_U,32,9.1,10.3,11.6,13.1,14.9,17.1,19.6 
P,BB_U,33,9.3,10.4,11.7,13.3,15.1,17.3,20.0 
P,BB_U,34,9.4,10.5,11.9,13.5,15.4,17.6,20.3 
P,BB_U,35,9.5,10.7,12.0,13.7,15.6,17.9,20.6 
P,BB_U,36,9.6,10.8,12.2,13.9,15.8,18.1,20.9 
P,BB_U,37,9.7,10.9,12.4,14.0,16.0,18.4,21.3 
P,BB_U,38,9.8,11.1,12.5,14.2,16.3,18.7,21.6 
P,BB_U,39,9.9,11.2,12.7,14.4,16.5,19.0,22.0 
P,BB_U,40,10.1,11.3,12.8,14.6,16.7,19.2,22.3 
P,BB_U,41,10.2,11.5,13.0,14.8,16.9,19.5,22.7 
P,BB_U,42,10.3,11.6,13.1,15.0,17.2,19.8,23.0 
P,BB_U,43,10.4,11.7,13.3,15.2,17.4,20.1,23.4 
P,BB_U,44,10.5,11.8,13.4,15.3,17.6,20.4,23.7 
P,BB_U,45,10.6,12.0,13.6,15.5,17.8,20.7,24.1 
P,BB_U,46,10.7,12.1,13.7,15.7,18.1,20.9,24.5 
P,BB_U,47,10.8,12.2,13.9,15.9,18.3,21.2,24.8 
P,BB_U,48,10.9,12.3,14.0,16.1,18.5,21.5,25.2 
P,BB_U,49,11.0,12.4,14.2,16.3,18.8,21.8,25.5 
P,BB_U,50,11.1,12.6,14.3,16.4,19.0,22.1,25.9 
P,BB_U,51,11.2,12.7,14.5,16.6,19.2,22.4,26.3 
P,BB_U,52,11.3,12.8,14.6,16.8,19.4,22.6,26.6
P,BB_U,53,11.4,12.9,14.8,17.0,19.7,22.9,27.0 
P,BB_U,54,11.5,13.0,14.9,17.2,19.9,23.2,27.4 
P,BB_U,55,11.6,13.2,15.1,17.3,20.1,23.5,27.7 
P,BB_U,56,11.7,13.3,15.2,17.5,20.3,23.8,28.1 
P,BB_U,57,11.8,13.4,15.3,17.7,20.6,24.1,28.5 
P,BB_U,58,11.9,13.5,15.5,17.9,20.8,24.4,28.8 
P,BB_U,59,12.0,13.6,15.6,18.0,21.0,24.6,29.2 
P,BB_U,60,12.1,13.7,15.8,18.2,21.2,24.9,29.5 

P,PB_U,0,43.6,45.4,47.3,49.1,51.0,52.9,54.7
P,PB_U,1,47.8,49.8,51.7,53.7,55.6,57.6,59.5 
P,PB_U,2,51.0,53.0,55.0,57.1,59.1,61.1,63.2 
P,PB_U,3,53.5,55.6,57.7,59.8,61.9,64.0,66.1 
